file_type,framework,count,avg_time,avg_memory,success_rate,avg_quality
bmp,unstructured,3,0.001523415247599284,524.265625,0.0,0.0
csv,unstructured,3,0.0028496583302815757,515.6302083333334,0.0,0.3740875000000001
docx,unstructured,42,0.009138061886742002,516.9326636904761,0.0,0.5746468701479401
eml,unstructured,3,0.004251400629679362,526.9635416666666,0.0,0.4596250000000001
epub,unstructured,6,0.0005640586217244467,540.2890625,0.0,0.0
html,unstructured,51,0.0668637051301844,537.9304534313726,0.0,0.582223365686642
json,unstructured,3,0.0007963180541992188,452.59375,0.0,0.552578125
md,unstructured,21,0.0042197250184558685,517.0602678571429,0.0,0.0
msg,unstructured,6,0.0737442175547282,526.7317708333334,0.0,0.3948134615384616
pdf,unstructured,77,0.0017787326465953481,542.294237012987,0.0,0.0
pdf_scanned,unstructured,12,0.8068123261133829,507.6458333333333,0.0,0.0
png,unstructured,6,0.000857075055440267,526.8828125,0.0,0.0
pptx,unstructured,12,0.017372349898020428,518.234375,0.0,0.3960944566819675
txt,unstructured,12,0.048865179220835366,524.625,0.0,0.4839729992633565
xls,unstructured,3,0.008678754170735678,520.2708333333334,0.0,0.43438990520618
xlsx,unstructured,6,0.17278452714284262,511.6848958333333,0.0,0.35647886029411774
yaml,unstructured,3,0.233719269434611,501.375,0.0,0.4471367607039188
