framework,file_path,file_type,file_size,category,status,extraction_time,peak_memory_mb,avg_memory_mb,peak_cpu_percent,character_count,word_count,overall_quality_score,error_message
unstructured,test_documents/csv_json_yaml/simple.json,json,4447,tiny,success,0.0005550384521484375,205.125,205.121875,100.1,167,30,0.552578125,
unstructured,test_documents/csv_json_yaml/simple.yaml,yaml,318,tiny,success,0.6964278221130371,351.46875,322.203125,93.9,265,40,0.44713676070391883,
unstructured,test_documents/csv_json_yaml/stanley-cups.xlsx,xlsx,6339,tiny,success,0.9985020160675049,394.09375,385.56875,89.7,175,34,0.4317077205882354,
unstructured,test_documents/csv_json_yaml/stanley-cups.csv,csv,91,tiny,success,0.005216836929321289,394.234375,394.20625,94.1,83,16,0.3740875000000001,
unstructured,test_documents/office/word_tables.docx,docx,16404,tiny,success,0.09448480606079102,396.6875,396.196875,94.8,850,164,0.49465087511291783,
unstructured,test_documents/office/unit_test_lists.docx,docx,15769,tiny,success,0.008709192276000977,396.6875,396.6875,95.8,416,93,0.6702109375000002,
unstructured,test_documents/office/simple.pptx,pptx,34865,tiny,success,0.1600329875946045,402.765625,401.55,93.6,170,33,0.4396965151515152,
unstructured,test_documents/office/fake.docx,docx,36602,tiny,success,0.005102872848510742,406.5625,405.80625,93.6,27,5,0.4104000000000001,
unstructured,test_documents/office/lorem_ipsum.docx,docx,14817,tiny,success,0.004782915115356445,406.5625,406.5625,95.2,3482,504,0.5971295359052713,
unstructured,test_documents/office/equations.docx,docx,15017,tiny,success,0.008010387420654297,406.5625,406.5625,95.7,1390,290,0.6579861111111112,
unstructured,test_documents/office/fake-email-attachment.msg,msg,15872,tiny,success,0.42902183532714844,427.390625,423.225,94.9,148,26,0.33000192307692316,
unstructured,test_documents/office/tests-example.xls,xls,16384,tiny,success,0.013740062713623047,427.59375,427.553125,93.8,1212,168,0.43438990520618,
unstructured,test_documents/office/powerpoint_sample.pptx,pptx,45849,tiny,success,0.007258892059326172,427.6875,427.66875,97.0,432,87,0.5376982758620691,
unstructured,test_documents/office/fake-email.msg,msg,11776,tiny,success,0.0020568370819091797,427.6875,427.6875,94.7,92,18,0.45962500000000006,
unstructured,test_documents/office/powerpoint_bad_text.pptx,pptx,35632,tiny,success,0.002358675003051758,427.6875,427.6875,94.4,118,14,0.24724553571428576,
unstructured,test_documents/office/tablecell.docx,docx,15180,tiny,success,0.004771232604980469,427.6875,427.6875,96.2,79,18,0.6533312500000001,
unstructured,test_documents/office/textbox.docx,docx,49206,tiny,success,0.005076885223388672,427.6875,427.6875,96.0,162,19,0.5093750000000001,
unstructured,test_documents/office/unit_test_headers.docx,docx,13903,tiny,success,0.01046895980834961,427.6875,427.6875,99.3,322,44,0.5678739001860713,
unstructured,test_documents/office/unit_test_formatting.docx,docx,19731,tiny,success,0.0074269771575927734,427.703125,427.7,97.4,246,42,0.5070419642857144,
unstructured,test_documents/office/word_image_anchors.docx,docx,18560,tiny,success,0.004066944122314453,427.703125,427.703125,96.1,114,21,0.6458885416666668,
unstructured,test_documents/office/powerpoint_with_image.pptx,pptx,76480,tiny,success,0.003125905990600586,427.703125,427.703125,109.8,18,3,0.35973750000000004,
unstructured,test_documents/office/unit_test_headers_numbered.docx,docx,16880,tiny,success,0.009612083435058594,427.703125,427.703125,97.7,322,44,0.5678739001860713,
unstructured,test_documents/office/fake-email.eml,eml,807,tiny,success,0.008095979690551758,428.140625,428.053125,93.7,92,18,0.45962500000000006,
unstructured,test_documents/office/docx-tables.docx,docx,12725,tiny,success,0.00659489631652832,428.171875,428.165625,95.9,148,37,0.5621777027027028,
unstructured,test_documents/images/ocr_test_rotated_90.pdf,pdf_scanned,94126,tiny,failed,9.663985967636108,389.25,397.034375,94.0,0,0,0,cannot import name 'ModelProto' from 'onnx' (unknown location)
unstructured,test_documents/images/ocr_test_rotated_180.pdf,pdf_scanned,94703,tiny,failed,0.0076601505279541016,390.125,390.0,91.2,0,0,0,cannot import name 'ModelProto' from 'onnx' (unknown location)
unstructured,test_documents/images/ocr_test.pdf,pdf_scanned,93549,tiny,failed,0.0032129287719726562,390.6875,390.575,94.5,0,0,0,cannot import name 'ModelProto' from 'onnx' (unknown location)
unstructured,test_documents/images/ocr_test_rotated_270.pdf,pdf_scanned,94702,tiny,failed,0.0015411376953125,391.125,391.0375,94.7,0,0,0,No module named 'onnxruntime.quantization'
unstructured,test_documents/markdown/Sinthgunt.md,md,18844,tiny,failed,0.006330013275146484,391.140625,391.1375,87.9,0,0,0,"partition_md() is not available because one or more dependencies are not installed. Use: pip install ""unstructured[md]"" (including quotes) to install the required dependencies"
unstructured,test_documents/markdown/simple-table.md,md,152,tiny,failed,0.008822917938232422,392.296875,392.065625,98.2,0,0,0,"partition_md() is not available because one or more dependencies are not installed. Use: pip install ""unstructured[md]"" (including quotes) to install the required dependencies"
unstructured,test_documents/markdown/WKEY_AM.md,md,58405,tiny,failed,0.004988908767700195,392.296875,392.296875,95.7,0,0,0,"partition_md() is not available because one or more dependencies are not installed. Use: pip install ""unstructured[md]"" (including quotes) to install the required dependencies"
unstructured,test_documents/markdown/HIP_13044_b.md,md,54082,tiny,failed,0.004795074462890625,392.84375,392.734375,97.2,0,0,0,"partition_md() is not available because one or more dependencies are not installed. Use: pip install ""unstructured[md]"" (including quotes) to install the required dependencies"
unstructured,test_documents/markdown/README.md,md,859,tiny,failed,0.0012440681457519531,392.890625,392.88125,96.2,0,0,0,"partition_md() is not available because one or more dependencies are not installed. Use: pip install ""unstructured[md]"" (including quotes) to install the required dependencies"
unstructured,test_documents/html/complex-table.html,html,3010,tiny,success,0.005914926528930664,392.921875,392.915625,95.7,393,71,0.5615489130434783,
unstructured,test_documents/html/simple-table.html,html,1623,tiny,success,0.0019452571868896484,392.953125,392.946875,93.9,244,37,0.6928008727477478,
unstructured,test_documents/html/Sinthgunt.html,html,71465,tiny,success,0.0361630916595459,396.765625,396.003125,93.5,5315,766,0.6265286744815046,
unstructured,test_documents/pdfs/code_and_formula.pdf,pdf,89031,tiny,failed,0.0009679794311523438,396.765625,396.765625,97.3,0,0,0,No module named 'unstructured.partition.pdf'
unstructured,test_documents/pdfs/The Hideous Name - 1985 (pike85hideous).pdf,pdf,32949,tiny,failed,0.0009260177612304688,396.796875,396.790625,94.6,0,0,0,No module named 'unstructured.partition.pdf'
unstructured,test_documents/pdfs/Perfect Hash Functions - Slides.pdf,pdf,17159,tiny,failed,0.0005509853363037109,396.796875,396.796875,96.0,0,0,0,No module named 'unstructured.partition.pdf'
unstructured,test_documents/pdfs/Program Design in the UNIX Environment..pdf,pdf,26912,tiny,failed,0.0005409717559814453,397.03125,396.984375,95.6,0,0,0,No module named 'unstructured.partition.pdf'
unstructured,test_documents/pdfs/fake-memo.pdf,pdf,13374,tiny,failed,0.0007140636444091797,397.03125,397.03125,97.3,0,0,0,No module named 'unstructured.partition.pdf'
unstructured,test_documents/text/book-war-and-peace-1p.txt,txt,3045,tiny,success,0.007510185241699219,398.453125,398.16875,99.5,3032,536,0.5159387472415349,
unstructured,test_documents/text/fake-text.txt,txt,169,tiny,success,0.0016551017761230469,398.515625,398.503125,93.1,150,26,0.5290596153846154,
unstructured,test_documents/text/norwich-city.txt,txt,48194,tiny,success,0.28310108184814453,409.359375,407.190625,93.4,48187,6674,0.4574453465497599,
unstructured,test_documents/text/selected_pdfs.txt,txt,2374,tiny,success,0.006373882293701172,409.390625,409.384375,98.5,2368,337,0.43344828787751594,
unstructured,test_documents/office/winter-sports.epub,epub,210376,small,failed,0.0006368160247802734,409.390625,409.390625,94.8,0,0,0,"partition_epub() is not available because one or more dependencies are not installed. Use: pip install ""unstructured[epub]"" (including quotes) to install the required dependencies"
unstructured,test_documents/office/test-01.xlsx,xlsx,170052,small,success,0.011191129684448242,409.59375,409.553125,95.7,351,119,0.28125000000000006,
unstructured,test_documents/office/test_emf_docx.docx,docx,426097,small,success,0.0077550411224365234,418.640625,416.83125,97.6,87,16,0.5417593750000002,
unstructured,test_documents/office/word_sample.docx,docx,103966,small,success,0.010855913162231445,419.265625,419.140625,97.8,695,123,0.6593570884146343,
